index,recipeTitle,maybe_not_about_the_recipe,positive_user_describing_changes,positive_user_made_as_written,question,thinks_ingredients_hard_to_find,thinks_recipe_is_flawed_due_to_cooking_time,thinks_recipe_is_flawed_due_to_flavor,thinks_recipe_is_flawed_due_to_technique_or_equipment,thinks_recipe_is_inauthentic,user_responding_to_other_user,url,totalComments,negative,neutral,positive,posNegRatio
375,Hamburger Buns Recipe,0.05,0.3,0.35,0.1,0.0,0.1,0.0,0.1,0.0,0.0,https://cooking.nytimes.com/recipes/1022247-hamburger-buns,20.0,0.2,0.15,0.65,3.25
695,Salmon Ssam Recipe,0.0,0.26666666666666666,0.4666666666666667,0.2,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,https://cooking.nytimes.com/recipes/770670821-salmon-ssam,15.0,0.06666666666666667,0.2,0.7333333333333333,11.0
119,Caramelized Brussels Sprouts With Lemon Recipe,0.06060606060606061,0.24242424242424243,0.2727272727272727,0.21212121212121213,0.0,0.030303030303030304,0.06060606060606061,0.12121212121212122,0.0,0.0,https://cooking.nytimes.com/recipes/1024796-caramelized-brussels-sprouts-with-lemon,33.0,0.21212121212121213,0.2727272727272727,0.5151515151515151,2.4285714285714284
136,Chantilly Lili Recipe,0.18,0.24,0.34,0.12,0.0,0.0,0.06,0.04,0.0,0.02,https://cooking.nytimes.com/recipes/1026698-chantilly-lili,50.0,0.1,0.32,0.58,5.799999999999999
483,Mashed ‘Ulu With Passion Fruit Chutney Recipe,0.2,0.2,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://cooking.nytimes.com/recipes/1026156-mashed-ulu-with-passion-fruit-chutney,5.0,,0.2,0.8,
521,Nihari (Spiced Oxtail Stew) Recipe,0.0,0.18181818181818182,0.2727272727272727,0.45454545454545453,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,https://cooking.nytimes.com/recipes/1023957-nihari-spiced-oxtail-stew,11.0,0.09090909090909091,0.45454545454545453,0.45454545454545453,5.0
439,Kimchi Napjak Mandu (Flat Dumplings) Recipe,0.125,0.16666666666666666,0.25,0.20833333333333334,0.041666666666666664,0.0,0.0,0.20833333333333334,0.0,0.0,https://cooking.nytimes.com/recipes/1026451-kimchi-napjak-mandu-flat-dumplings,24.0,0.25,0.3333333333333333,0.4166666666666667,1.6666666666666667
704,Salvadoran Quesadilla Recipe,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.21428571428571427,0.0,0.07142857142857142,0.07142857142857142,0.0,0.07142857142857142,0.0,https://cooking.nytimes.com/recipes/1025463-salvadoran-quesadilla,14.0,0.21428571428571427,0.35714285714285715,0.42857142857142855,2.0
150,Chew Bread Recipe,0.06666666666666667,0.13333333333333333,0.26666666666666666,0.26666666666666666,0.0,0.13333333333333333,0.06666666666666667,0.06666666666666667,0.0,0.0,https://cooking.nytimes.com/recipes/1025208-chew-bread,15.0,0.26666666666666666,0.3333333333333333,0.4,1.5
190,Chocolate Soufflés Recipe,0.1,0.125,0.15,0.4,0.0,0.025,0.05,0.075,0.0,0.075,https://cooking.nytimes.com/recipes/1023550-chocolate-souffles,40.0,0.15,0.575,0.275,1.8333333333333335
679,Rosca de Reyes Recipe,0.0,0.125,0.25,0.0,0.125,0.0,0.0,0.125,0.375,0.0,https://cooking.nytimes.com/recipes/1024954-rosca-de-reyes,8.0,0.625,,0.375,0.6
446,Laminated Pie Dough Recipe,0.06521739130434782,0.08695652173913043,0.17391304347826086,0.32608695652173914,0.0,0.021739130434782608,0.021739130434782608,0.2826086956521739,0.0,0.021739130434782608,https://cooking.nytimes.com/recipes/1026350-laminated-pie-dough,46.0,0.32608695652173914,0.41304347826086957,0.2608695652173913,0.7999999999999999
257,Devil's Food White-Out Cake Recipe,0.06666666666666667,0.06666666666666667,0.13333333333333333,0.3333333333333333,0.0,0.06666666666666667,0.2,0.13333333333333333,0.0,0.0,https://cooking.nytimes.com/recipes/1015545-devils-food-white-out-cake,15.0,0.4,0.4,0.2,0.5
185,Chocolate Fudge Recipe,0.05555555555555555,0.05555555555555555,0.1111111111111111,0.08333333333333333,0.08333333333333333,0.1111111111111111,0.05555555555555555,0.3333333333333333,0.0,0.1111111111111111,https://cooking.nytimes.com/recipes/1023718-chocolate-fudge,36.0,0.5833333333333334,0.25,0.16666666666666666,0.2857142857142857
55,Blood Orange Gelato Recipe,0.0,0.0,0.11764705882352941,0.23529411764705882,0.0,0.0,0.0,0.23529411764705882,0.11764705882352941,0.29411764705882354,https://cooking.nytimes.com/recipes/1027736-blood-orange-gelato,17.0,0.35294117647058826,0.5294117647058824,0.11764705882352941,0.3333333333333333
598,Piparkakut Recipe,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://cooking.nytimes.com/recipes/1013393-piparkakut,4.0,,,1.0,
914,Whipped Cream Cheese With Mentaiko Recipe,0.0,0.0,0.25,0.5,0.0,0.0,0.0,0.0,0.0,0.25,https://cooking.nytimes.com/recipes/1024293-whipped-cream-cheese-with-mentaiko,4.0,,0.75,0.25,
