author,maybe_not_about_the_recipe,positive_user_describing_changes,positive_user_made_as_written,question,thinks_ingredients_hard_to_find,thinks_recipe_is_flawed_due_to_cooking_time,thinks_recipe_is_flawed_due_to_flavor,thinks_recipe_is_flawed_due_to_technique_or_equipment,thinks_recipe_is_inauthentic,user_responding_to_other_user
Alexa Weibel,0.03202377022119511,0.5675140310333443,0.11538461538461539,0.10399471772862331,0.006437768240343348,0.027896995708154508,0.0590954110267415,0.06190161769560911,0.006272697259821723,0.019478375701551667
Ali Slagle,0.04281767955801105,0.5341850828729282,0.08287292817679558,0.13397790055248618,0.0020718232044198894,0.026243093922651933,0.09875690607734806,0.04834254143646409,0.003453038674033149,0.027279005524861878
Christina Morales,0.0688836104513064,0.41092636579572445,0.08432304038004751,0.16508313539192399,0.020190023752969122,0.023752969121140142,0.07363420427553444,0.047505938242280284,0.04156769596199525,0.06413301662707839
Claire Saffitz,0.04415724286483576,0.3508346795907378,0.14054927302100162,0.2113624124932687,0.008077544426494346,0.034733441033925685,0.052234787291330104,0.1206246634356489,0.005385029617662897,0.03204092622509424
David Tanis,0.03462157809983897,0.44041867954911434,0.08051529790660225,0.20209339774557167,0.00644122383252818,0.021739130434782608,0.08293075684380032,0.08293075684380032,0.013687600644122383,0.03462157809983897
Emily Weinstein,0.028955532574974147,0.5222337125129266,0.09927611168562564,0.12926577042399173,0.001034126163391934,0.06773526370217166,0.0656670113753878,0.06928645294725956,0.005170630816959669,0.011375387797311272
Eric Kim,0.05474040632054176,0.4317155756207675,0.11258465011286682,0.1961060948081264,0.008182844243792325,0.035553047404063204,0.044582392776523705,0.0806997742663657,0.01044018058690745,0.025395033860045147
Genevieve Ko,0.055089820359281436,0.46706586826347307,0.09461077844311377,0.16506986027944112,0.010379241516966068,0.03033932135728543,0.058483033932135726,0.07664670658682635,0.006387225548902195,0.03592814371257485
Julia Moskin,0.0527019796682718,0.4823434991974318,0.07838416265382557,0.12573568753344033,0.0072231139646869984,0.03317281968967362,0.0888175494917068,0.08667736757624397,0.019261637239165328,0.025682182985553772
Kay Chun,0.029992942836979536,0.5568101623147494,0.08856739590684545,0.12526464361326747,0.007057163020465773,0.030698659139026113,0.08256880733944955,0.04446012702893437,0.01058574453069866,0.02399435426958363
Kenji López-Alt,0.06955030487804878,0.4603658536585366,0.13395579268292682,0.12995426829268292,0.006669207317073171,0.013719512195121951,0.07126524390243902,0.07717225609756098,0.012576219512195123,0.024771341463414635
Kim Severson,0.051991150442477874,0.5940265486725663,0.09070796460176991,0.1172566371681416,0.014380530973451327,0.016592920353982302,0.046460176991150445,0.048672566371681415,0.00663716814159292,0.01327433628318584
Korsha Wilson,0.08502994011976048,0.41916167664670656,0.09341317365269461,0.16766467065868262,0.010778443113772455,0.027544910179640718,0.06467065868263473,0.07784431137724551,0.023952095808383235,0.029940119760479042
Ligaya Mishan,0.08074534161490683,0.4070711896798853,0.08600095556617296,0.18585762064022934,0.029144768275203056,0.016244624940277116,0.08456760630673674,0.05112279025322503,0.018633540372670808,0.040611562350692784
Lisa Donovan,0.08522212148685404,0.37035358114233907,0.08250226654578423,0.19038984587488667,0.017225747960108794,0.03399818676337262,0.07751586582048957,0.07252946509519492,0.022212148685403447,0.04805077062556664
Melissa Clark,0.060700736442758314,0.4565945101539835,0.09082794019192145,0.17741575541173846,0.0046864539165364875,0.026110243249274717,0.07386744030350369,0.07007364427583129,0.007587592055344789,0.032135683999107344
Priya Krishna,0.05065856129685917,0.5053698074974671,0.08571428571428572,0.13434650455927052,0.008308004052684904,0.02735562310030395,0.07274569402228977,0.07132725430597771,0.013373860182370821,0.030800405268490375
Sam Sifton,0.06497252747252748,0.6141483516483517,0.08475274725274726,0.08681318681318681,0.010164835164835165,0.021016483516483518,0.04835164835164835,0.03708791208791209,0.009065934065934067,0.023626373626373626
Sohla El-Waylly,0.0402378592666006,0.5042616451932607,0.13042616451932607,0.09474727452923687,0.011694747274529236,0.030128840436075322,0.088800792864222,0.07135777998017839,0.0033696729435084244,0.02497522299306244
Tanya Sichynsky,0.0723905723905724,0.4612794612794613,0.12289562289562289,0.1750841750841751,0.003367003367003367,0.020202020202020204,0.03535353535353535,0.045454545454545456,0.02356902356902357,0.04040404040404041
Vaughn Vreeland,0.04926676552974131,0.4331850387213709,0.11814137419673752,0.16938540121931125,0.004778381941011699,0.03295435821387378,0.06953369583127368,0.09194265941670786,0.004943153732081068,0.025869171197890922
Yewande Komolafe,0.05128205128205128,0.4064102564102564,0.07307692307692308,0.191025641025641,0.016666666666666666,0.047435897435897434,0.07307692307692308,0.07307692307692308,0.021794871794871794,0.046153846153846156
Yotam Ottolenghi,0.03415300546448088,0.48333333333333334,0.09890710382513661,0.15437158469945356,0.022131147540983605,0.03442622950819672,0.06366120218579235,0.06475409836065574,0.004918032786885246,0.03934426229508197
