author,maybe_not_about_the_recipe,positive_user_describing_changes,positive_user_made_as_written,question,thinks_ingredients_hard_to_find,thinks_recipe_is_flawed_due_to_cooking_time,thinks_recipe_is_flawed_due_to_flavor,thinks_recipe_is_flawed_due_to_technique_or_equipment,thinks_recipe_is_inauthentic,user_responding_to_other_user,totalComments
Alexa Weibel,194,3438,699,630,39,169,358,375,38,118,6058
Ali Slagle,124,1547,240,388,6,76,286,140,10,79,2896
Christina Morales,58,346,71,139,17,20,62,40,35,54,842
Claire Saffitz,164,1303,522,785,30,129,194,448,20,119,3714
David Tanis,43,547,100,251,8,27,103,103,17,43,1242
Emily Weinstein,56,1010,192,250,2,131,127,134,10,22,1934
Eric Kim,194,1530,399,695,29,126,158,286,37,90,3544
Genevieve Ko,276,2340,474,827,52,152,293,384,32,180,5010
Julia Moskin,197,1803,293,470,27,124,332,324,72,96,3738
Kay Chun,85,1578,251,355,20,87,234,126,30,68,2834
Kenji López-Alt,365,2416,703,682,35,72,374,405,66,130,5248
Kim Severson,47,537,82,106,13,15,42,44,6,12,904
Korsha Wilson,71,350,78,140,9,23,54,65,20,25,835
Ligaya Mishan,169,852,180,389,61,34,177,107,39,85,2093
Lisa Donovan,188,817,182,420,38,75,171,160,49,106,2206
Melissa Clark,272,2046,407,795,21,117,331,314,34,144,4481
Priya Krishna,250,2494,423,663,41,135,359,352,66,152,4935
Sam Sifton,473,4471,617,632,74,153,352,270,66,172,7280
Sohla El-Waylly,203,2544,658,478,59,152,448,360,17,126,5045
Tanya Sichynsky,43,274,73,104,2,12,21,27,14,24,594
Vaughn Vreeland,299,2629,717,1028,29,200,422,558,30,157,6069
Yewande Komolafe,80,634,114,298,26,74,114,114,34,72,1560
Yotam Ottolenghi,125,1769,362,565,81,126,233,237,18,144,3660
